BCL2L10 ZAR1L C3orf56 BTG4 TUBB8 SH2D1B C9orf116 TMEM132B CA4 FAM19A4 label
E3.53.3435 8 4 8 1 29 0 0 0 0 0 E3
E3.51.3425 9 5 9 0 82 0 0 3 0 0 E3
E3.50.3417 107 27 167 65 727 0 0 5 0 3 E3
E3.49.3410 71 63 155 0 560 0 0 0 0 0 E3
E3.51.3422 569 526 750 127 4579 162 3 33 0 89 E3
E3.50.3415 130 141 300 20 715 0 13 19 0 63 E3
E3.51.3421 361 617 1568 179 5729 54 0 214 0 67 E3
E3.53.3437 183 167 310 23 554 62 0 83 0 49 E3
E3.51.3423 143 167 183 26 1057 0 0 33 0 8 E3
E3.52.3429 634 332 1029 30 936 0 0 420 0 98 E3
E3.49.3407 54 27 210 0 555 0 0 50 0 14 E3
E3.51.3426 255 209 485 256 2201 0 0 136 0 0 E3
E3.47.3391 39 1 0 26 189 27 0 0 0 0 E3
E3.52.3431 245 37 916 5 636 0 0 195 0 151 E3
E3.53.3438 46 48 138 0 566 0 0 135 0 70 E3
